exchange_rates,dates
0.029991,2002-01-02
0.030021,2002-01-03
0.030073,2002-01-04
0.029904,2002-01-07
0.0297,2002-01-08
0.029918,2002-01-09
0.029895,2002-01-10
0.03068,2002-01-11
0.030473,2002-01-14
0.030763,2002-01-15
0.031085,2002-01-16
0.031209,2002-01-17
0.031536,2002-01-18
0.031241,2002-01-21
0.030708,2002-01-22
0.030625,2002-01-23
0.030783,2002-01-24
0.030935,2002-01-25
0.031065,2002-01-28
0.031198,2002-02-01
0.03162,2002-02-04
0.031577,2002-02-05
0.031453,2002-02-06
0.031914,2002-02-07
0.031541,2002-02-08
0.031089,2002-02-11
0.031228,2002-02-12
0.031312,2002-02-13
0.031695,2002-02-14
0.031495,2002-02-15
0.031287,2002-02-18
0.031016,2002-02-19
0.031138,2002-02-20
0.031252,2002-02-21
0.031046,2002-02-22
0.031111,2002-02-25
0.031315,2002-02-26
0.031105,2002-02-27
0.031437,2002-02-28
0.031709,2002-03-01
0.031692,2002-03-04
0.031487,2002-03-05
0.03148,2002-03-06
0.032086,2002-03-07
0.032564,2002-03-08
0.032122,2002-03-11
0.032221,2002-03-12
0.032116,2002-03-13
0.03219,2002-03-14
0.031867,2002-03-15
0.0314,2002-03-18
0.031187,2002-03-19
0.031249,2002-03-20
0.031185,2002-03-21
0.030965,2002-03-22
0.031012,2002-03-25
0.031119,2002-03-26
0.031067,2002-03-27
0.031006,2002-03-28
0.030774,2002-04-02
0.030792,2002-04-03
0.030906,2002-04-04
0.031022,2002-04-05
0.031103,2002-04-08
0.031127,2002-04-09
0.031287,2002-04-10
0.03104,2002-04-11
0.030741,2002-04-12
0.030843,2002-04-15
0.030882,2002-04-16
0.030989,2002-04-17
0.030945,2002-04-18
0.030931,2002-04-19
0.031061,2002-04-22
0.031074,2002-04-23
0.031114,2002-04-24
0.031301,2002-04-25
0.031303,2002-04-26
0.031252,2002-05-02
0.031264,2002-05-06
0.031083,2002-05-07
0.03104,2002-05-08
0.031163,2002-05-09
0.031225,2002-05-10
0.031502,2002-05-13
0.031976,2002-05-14
0.031701,2002-05-15
0.03216,2002-05-16
0.032366,2002-05-17
0.032648,2002-05-20
0.032496,2002-05-21
0.032822,2002-05-22
0.033004,2002-05-23
0.03272,2002-05-24
0.032619,2002-05-27
0.032545,2002-05-28
0.032429,2002-06-03
0.03254,2002-06-04
0.032327,2002-06-05
0.03219,2002-06-06
0.032212,2002-06-07
0.032291,2002-06-10
0.032316,2002-06-11
0.032145,2002-06-12
0.03202,2002-06-13
0.032258,2002-06-14
0.032508,2002-06-17
0.032404,2002-06-18
0.03233,2002-06-19
0.032583,2002-06-20
0.032676,2002-06-21
0.033162,2002-06-24
0.03307,2002-06-25
0.033259,2002-06-26
0.033788,2002-06-27
0.033948,2002-06-28
0.033863,2002-07-01
0.03323,2002-07-02
0.034191,2002-07-03
0.034171,2002-07-04
0.034519,2002-07-05
0.034866,2002-07-08
0.035632,2002-07-09
0.035452,2002-07-10
0.035547,2002-07-11
0.035756,2002-07-12
0.035891,2002-07-15
0.035863,2002-07-16
0.035395,2002-07-17
0.034876,2002-07-18
0.034833,2002-07-19
0.034532,2002-07-22
0.034613,2002-07-23
0.035013,2002-07-24
0.034932,2002-07-25
0.034854,2002-07-26
0.03483,2002-08-01
0.0354,2002-08-02
0.034977,2002-08-05
0.034734,2002-08-06
0.034831,2002-08-07
0.034582,2002-08-08
0.034577,2002-08-09
0.03493,2002-08-12
0.035083,2002-08-13
0.035512,2002-08-14
0.035494,2002-08-16
0.035189,2002-08-19
0.034944,2002-08-20
0.035018,2002-08-21
0.035156,2002-08-22
0.034939,2002-08-23
0.034921,2002-08-26
0.035056,2002-08-27
0.035234,2002-08-28
0.034845,2002-09-02
0.035152,2002-09-03
0.034961,2002-09-04
0.035221,2002-09-05
0.035186,2002-09-06
0.03507,2002-09-09
0.03491,2002-09-10
0.034641,2002-09-11
0.034623,2002-09-12
0.034687,2002-09-13
0.034271,2002-09-16
0.033952,2002-09-17
0.034246,2002-09-18
0.034009,2002-09-19
0.033605,2002-09-20
0.033569,2002-09-23
0.033649,2002-09-24
0.033709,2002-09-25
0.033629,2002-09-26
0.033872,2002-09-27
0.033936,2002-10-01
0.033653,2002-10-02
0.033763,2002-10-03
0.033749,2002-10-04
0.033565,2002-10-07
0.033519,2002-10-08
0.033557,2002-10-09
0.033555,2002-10-10
0.033215,2002-10-11
0.033226,2002-10-14
0.033105,2002-10-15
0.033276,2002-10-16
0.033518,2002-10-17
0.033266,2002-10-18
0.033211,2002-10-21
0.032968,2002-10-22
0.033129,2002-10-23
0.032906,2002-10-24
0.032902,2002-10-25
0.032555,2002-10-28
0.032676,2002-11-04
0.032672,2002-11-05
0.032526,2002-11-06
0.032429,2002-11-07
0.032509,2002-11-08
0.032771,2002-11-12
0.032695,2002-11-13
0.032739,2002-11-14
0.032597,2002-11-15
0.032319,2002-11-18
0.032068,2002-11-19
0.032037,2002-11-20
0.032193,2002-11-21
0.03209,2002-11-22
0.032129,2002-11-25
0.032722,2002-11-26
0.032641,2002-11-27
0.032624,2002-11-28
0.032311,2002-12-02
0.031936,2002-12-03
0.031947,2002-12-04
0.03183,2002-12-05
0.032042,2002-12-06
0.032308,2002-12-09
0.031923,2002-12-10
0.031949,2002-12-11
