exchange_rates,dates
3.948,2002-01-02
3.9574,2002-01-03
3.9383,2002-01-04
3.9079,2002-01-07
3.9322,2002-01-08
3.9667,2002-01-09
3.9637,2002-01-10
4.0547,2002-01-11
4.0116,2002-01-14
4.0351,2002-01-15
4.0851,2002-01-16
4.1256,2002-01-17
4.188,2002-01-18
4.1417,2002-01-21
4.12,2002-01-22
4.11,2002-01-23
4.1291,2002-01-24
4.1627,2002-01-25
4.1522,2002-01-28
4.175,2002-02-01
4.2144,2002-02-04
4.1885,2002-02-05
4.2062,2002-02-06
4.2628,2002-02-07
4.2247,2002-02-08
4.1863,2002-02-11
4.1723,2002-02-12
4.1593,2002-02-13
4.2018,2002-02-14
4.1793,2002-02-15
4.15,2002-02-18
4.1476,2002-02-19
4.1612,2002-02-20
4.1739,2002-02-21
4.1742,2002-02-22
4.168,2002-02-25
4.189,2002-02-26
4.1946,2002-02-27
4.2046,2002-02-28
4.2331,2002-03-01
4.1898,2002-03-04
4.1642,2002-03-05
4.1473,2002-03-06
4.1376,2002-03-07
4.1617,2002-03-08
4.1464,2002-03-11
4.1446,2002-03-12
4.163,2002-03-13
4.1462,2002-03-14
4.1156,2002-03-15
4.1106,2002-03-18
4.1067,2002-03-19
4.1159,2002-03-20
4.1036,2002-03-21
4.1085,2002-03-22
4.1269,2002-03-25
4.1343,2002-03-26
4.1159,2002-03-27
4.1173,2002-03-28
4.1113,2002-04-02
4.0897,2002-04-03
4.0858,2002-04-04
4.0969,2002-04-05
4.0861,2002-04-08
4.0983,2002-04-09
4.0865,2002-04-10
4.088,2002-04-11
4.0607,2002-04-12
4.06,2002-04-15
4.062,2002-04-16
4.0543,2002-04-17
4.0389,2002-04-18
4.0326,2002-04-19
4.0412,2002-04-22
4.0381,2002-04-23
4.044,2002-04-24
4.0352,2002-04-25
4.0284,2002-04-26
3.9776,2002-05-02
3.9801,2002-05-06
3.9625,2002-05-07
3.9849,2002-05-08
4.0155,2002-05-09
3.9998,2002-05-10
4.0147,2002-05-13
4.1066,2002-05-14
4.0637,2002-05-15
4.1042,2002-05-16
4.1209,2002-05-17
4.0978,2002-05-20
4.083,2002-05-21
4.0953,2002-05-22
4.0924,2002-05-23
4.0958,2002-05-24
4.0732,2002-05-27
4.0545,2002-05-28
4.025,2002-06-03
4.0155,2002-06-04
4.0228,2002-06-05
4.0164,2002-06-06
4.0035,2002-06-07
4.0264,2002-06-10
4.0265,2002-06-11
4.0294,2002-06-12
4.0274,2002-06-13
4.0232,2002-06-14
4.042,2002-06-17
4.0455,2002-06-18
4.0146,2002-06-19
4.0331,2002-06-20
4.021,2002-06-21
4.0141,2002-06-24
4.0278,2002-06-25
4.0034,2002-06-26
4.0413,2002-06-27
4.0418,2002-06-28
4.0529,2002-07-01
4.0025,2002-07-02
4.1135,2002-07-03
4.112,2002-07-04
4.1573,2002-07-05
4.1395,2002-07-08
4.2258,2002-07-09
4.1751,2002-07-10
4.1698,2002-07-11
4.1751,2002-07-12
4.1697,2002-07-15
4.1668,2002-07-16
4.1113,2002-07-17
4.0836,2002-07-18
4.0431,2002-07-19
4.0207,2002-07-22
4.0838,2002-07-23
4.1156,2002-07-24
4.0713,2002-07-25
4.0925,2002-07-26
4.1784,2002-08-01
4.2108,2002-08-02
4.1703,2002-08-05
4.1889,2002-08-06
4.2045,2002-08-07
4.1794,2002-08-08
4.1938,2002-08-09
4.186,2002-08-12
4.18,2002-08-13
4.1608,2002-08-14
4.1788,2002-08-16
4.1689,2002-08-19
4.1502,2002-08-20
4.1368,2002-08-21
4.1913,2002-08-22
4.1965,2002-08-23
4.1842,2002-08-26
4.1648,2002-08-27
4.1711,2002-08-28
4.1272,2002-09-02
4.1272,2002-09-03
4.1138,2002-09-04
4.1415,2002-09-05
4.167,2002-09-06
4.1699,2002-09-09
4.1563,2002-09-10
4.1559,2002-09-11
4.1592,2002-09-12
4.1613,2002-09-13
4.1951,2002-09-16
4.1893,2002-09-17
4.1723,2002-09-18
4.1383,2002-09-19
4.1272,2002-09-20
4.1314,2002-09-23
4.1532,2002-09-24
4.1333,2002-09-25
4.1329,2002-09-26
4.1474,2002-09-27
4.143,2002-10-01
4.1434,2002-10-02
4.1454,2002-10-03
4.1455,2002-10-04
4.1625,2002-10-07
4.1654,2002-10-08
4.1706,2002-10-09
4.1368,2002-10-10
4.1218,2002-10-11
4.1174,2002-10-14
4.1239,2002-10-15
4.1381,2002-10-16
4.1638,2002-10-17
4.1703,2002-10-18
4.1412,2002-10-21
4.1282,2002-10-22
4.1127,2002-10-23
4.0935,2002-10-24
4.0752,2002-10-25
4.0571,2002-10-28
3.996,2002-11-04
3.978,2002-11-05
3.9812,2002-11-06
3.9504,2002-11-07
3.9319,2002-11-08
3.9174,2002-11-12
3.9225,2002-11-13
3.9398,2002-11-14
3.932,2002-11-15
3.9158,2002-11-18
3.8798,2002-11-19
3.9208,2002-11-20
3.943,2002-11-21
3.9315,2002-11-22
3.9444,2002-11-25
3.987,2002-11-26
3.9763,2002-11-27
3.9865,2002-11-28
3.9998,2002-12-02
3.9785,2002-12-03
3.9816,2002-12-04
3.9882,2002-12-05
3.9893,2002-12-06
3.9593,2002-12-09
3.936,2002-12-10
3.9398,2002-12-11
3.9134,2002-12-12
3.8868,2002-12-13
3.8815,2002-12-16
3.8751,2002-12-17
3.9013,2002-12-18
3.891,2002-12-19
3.8859,2002-12-20
3.8642,2002-12-23
3.8736,2002-12-24
3.8514,2002-12-27
3.8283,2003-01-02
3.8403,2003-01-03
3.8204,2003-01-06
3.8335,2003-01-07
3.8424,2003-01-08
3.828,2003-01-09
3.8214,2003-01-10
3.8086,2003-01-13
3.8094,2003-01-14
3.8152,2003-01-15
3.7914,2003-01-16
3.8091,2003-01-17
3.8146,2003-01-20
3.8195,2003-01-21
3.868,2003-01-22
3.9418,2003-01-23
3.8688,2003-01-24
3.8481,2003-01-27
3.8487,2003-01-28
3.8326,2003-02-03
3.8427,2003-02-04
3.8191,2003-02-05
3.858,2003-02-06
3.8575,2003-02-07
3.8585,2003-02-10
3.8712,2003-02-11
3.8498,2003-02-12
3.8548,2003-02-13
3.8559,2003-02-14
3.873,2003-02-17
3.8631,2003-02-18
3.8705,2003-02-19
3.8882,2003-02-20
3.879,2003-02-21
3.8902,2003-02-24
3.8824,2003-02-25
3.885,2003-02-26
3.8873,2003-02-27
3.9135,2003-02-28
3.9588,2003-03-03
3.9518,2003-03-04
3.9314,2003-03-05
3.9093,2003-03-06
3.8959,2003-03-07
3.9335,2003-03-10
3.9527,2003-03-11
3.9639,2003-03-12
4.0287,2003-03-13
3.999,2003-03-14
4.0265,2003-03-17
4.0648,2003-03-18
4.0693,2003-03-19
4.0625,2003-03-20
4.0698,2003-03-21
4.0746,2003-03-24
4.0621,2003-03-25
4.0635,2003-03-26
4.0571,2003-03-27
4.0736,2003-03-28
4.0823,2003-04-01
4.0746,2003-04-02
4.0598,2003-04-03
4.069,2003-04-04
4.091,2003-04-07
4.0554,2003-04-08
3.9948,2003-04-09
3.9542,2003-04-10
3.9711,2003-04-11
3.9443,2003-04-14
3.9469,2003-04-15
3.9573,2003-04-16
3.918,2003-04-17
3.9139,2003-04-18
3.908,2003-04-22
3.889,2003-04-23
3.8963,2003-04-24
3.8898,2003-04-25
3.8783,2003-04-28
3.8015,2003-05-02
3.7871,2003-05-05
3.7608,2003-05-06
3.7878,2003-05-07
3.7852,2003-05-08
3.7659,2003-05-09
3.7438,2003-05-12
3.7591,2003-05-13
3.7576,2003-05-14
3.7755,2003-05-15
3.7768,2003-05-16
3.7087,2003-05-19
3.7191,2003-05-20
3.739,2003-05-21
3.7061,2003-05-22
3.6919,2003-05-23
3.679,2003-05-26
3.6709,2003-05-27
3.6977,2003-05-28
3.7512,2003-06-02
3.7499,2003-06-03
3.7869,2003-06-04
3.8218,2003-06-05
3.7437,2003-06-06
3.744,2003-06-09
3.7882,2003-06-10
3.7867,2003-06-11
3.7813,2003-06-12
3.7701,2003-06-13
3.7213,2003-06-16
3.7245,2003-06-17
3.7257,2003-06-18
3.7916,2003-06-20
3.8265,2003-06-23
3.872,2003-06-24
3.8788,2003-06-25
3.8884,2003-06-26
3.9336,2003-06-27
3.8525,2003-07-01
3.8365,2003-07-02
3.8729,2003-07-03
3.8905,2003-07-04
3.8907,2003-07-07
3.9299,2003-07-08
3.9305,2003-07-09
3.9311,2003-07-10
3.9274,2003-07-11
3.9437,2003-07-14
3.9393,2003-07-15
3.9806,2003-07-16
3.9988,2003-07-17
3.993,2003-07-18
3.963,2003-07-21
3.9161,2003-07-22
3.919,2003-07-23
3.8474,2003-07-24
3.8475,2003-07-25
3.8441,2003-07-28
3.9023,2003-08-01
3.8735,2003-08-04
3.8418,2003-08-05
3.8414,2003-08-06
3.8533,2003-08-07
3.8487,2003-08-08
3.8698,2003-08-11
3.848,2003-08-12
3.887,2003-08-13
3.871,2003-08-14
3.8928,2003-08-18
3.9341,2003-08-19
3.9328,2003-08-20
3.9551,2003-08-21
3.9976,2003-08-22
4.0006,2003-08-25
4.0198,2003-08-26
4.0072,2003-08-27
4.001,2003-08-28
3.9698,2003-09-01
4.0054,2003-09-02
4.0398,2003-09-03
4.026,2003-09-04
4.028,2003-09-05
4.0045,2003-09-08
3.9867,2003-09-09
3.968,2003-09-10
3.9475,2003-09-11
3.9697,2003-09-12
3.94,2003-09-15
3.9789,2003-09-16
4.0431,2003-09-17
4.0197,2003-09-18
3.9931,2003-09-19
3.9353,2003-09-22
3.9135,2003-09-23
3.9146,2003-09-24
3.9259,2003-09-25
3.9613,2003-09-26
3.9143,2003-10-01
3.8973,2003-10-02
3.885,2003-10-03
3.9169,2003-10-06
3.872,2003-10-07
3.8538,2003-10-08
3.8096,2003-10-09
3.8683,2003-10-10
3.8599,2003-10-13
3.8925,2003-10-14
3.9013,2003-10-15
3.9681,2003-10-16
3.9684,2003-10-17
3.9505,2003-10-20
3.9431,2003-10-21
3.9459,2003-10-22
3.9372,2003-10-23
3.945,2003-10-24
3.9616,2003-10-27
